Category,Attack,Rank,Feature,Delta_Norm
DoS,FGSM,1,num_root,0.2
DoS,FGSM,2,logged_in,0.19264
DoS,FGSM,3,count,0.18537
DoS,PGD,1,num_root,0.19604
DoS,PGD,2,su_attempted,0.19076
DoS,PGD,3,logged_in,0.18354
Probe,FGSM,1,num_root,0.1999
Probe,FGSM,2,logged_in,0.19789
Probe,FGSM,3,su_attempted,0.19471
Probe,PGD,1,num_root,0.19748
Probe,PGD,2,su_attempted,0.193
Probe,PGD,3,logged_in,0.18598
R2L,FGSM,1,num_root,0.2
R2L,FGSM,2,dst_host_diff_srv_rate,0.19908
R2L,FGSM,3,diff_srv_rate,0.19564
R2L,PGD,1,num_root,0.19988
R2L,PGD,2,su_attempted,0.1978
R2L,PGD,3,serror_rate,0.18628
U2R,FGSM,1,serror_rate,0.2
U2R,FGSM,2,dst_host_diff_srv_rate,0.2
U2R,FGSM,3,num_root,0.2
U2R,PGD,1,num_root,0.19833
U2R,PGD,2,su_attempted,0.19625
U2R,PGD,3,serror_rate,0.195
