Feature,FGSM_Delta_Norm,FGSM_Direction,FGSM_Physical,PGD_Delta_Norm,PGD_Direction,PGD_Physical
num_root,0.19996268,increase,1493.4945,0.19655633,increase,1468.0422
su_attempted,0.16905624,increase,0.33811247,0.1916287,increase,0.3832574
logged_in,0.1846927,increase,0.17027783,0.17666309,increase,0.1636893
srv_diff_host_rate,0.17157523,increase,0.15698197,0.1673922,increase,0.15726863
is_host_login,0.1768989,increase,0.1768989,0.16146415,increase,0.16146415
num_access_files,0.17432812,increase,1.5668049,0.15864897,increase,1.4269747
same_srv_rate,0.16198198,increase,0.12479641,0.15286194,increase,0.08489956
dst_host_srv_count,0.17789555,increase,35.98448,0.15251453,increase,36.597034
serror_rate,0.15759276,increase,0.14849675,0.15064117,increase,0.14024231
dst_host_same_srv_rate,0.17290924,increase,0.13699421,0.14526907,increase,0.13921306
dst_host_count,0.09220288,decrease,-12.641862,0.14150976,decrease,-32.28231
dst_host_same_src_port_rate,0.15864341,increase,0.11175917,0.13787575,increase,0.07686164
count,0.16041434,decrease,-68.58324,0.12611029,decrease,-39.354614
root_shell,0.14171688,increase,0.14117937,0.119995944,increase,0.119458295
diff_srv_rate,0.13721675,increase,0.026558468,0.119733244,increase,0.060502566
src_bytes,0.032601096,increase,44985860.0,0.11800493,increase,162840780.0
rerror_rate,0.16685003,decrease,-0.045868106,0.11767711,decrease,-0.09011144
duration,0.082771145,increase,3497.2578,0.117358916,increase,5003.979
srv_rerror_rate,0.1135775,decrease,-0.10414388,0.11033865,decrease,-0.10387938
dst_host_rerror_rate,0.115712166,decrease,-0.106686756,0.107605025,decrease,-0.093761854
num_outbound_cmds,0.10249667,increase,0.10249667,0.10569852,increase,0.10569852
num_file_creations,0.0615328,increase,2.641869,0.10539258,increase,4.530038
dst_host_diff_srv_rate,0.12154154,increase,0.0061706295,0.09003946,increase,0.004366039
num_shells,0.03413962,increase,0.0676927,0.079288565,increase,0.1583616
is_guest_login,0.0811855,increase,0.07551555,0.06627996,increase,0.06321331
srv_serror_rate,0.052002367,decrease,-0.04320419,0.061464574,decrease,-0.030052468
srv_count,0.046312034,increase,3.893615,0.059117515,increase,18.541271
dst_host_srv_serror_rate,0.09226999,increase,0.020829491,0.055241477,decrease,-0.023028921
dst_host_serror_rate,0.06277877,decrease,-0.045131184,0.053460132,decrease,-0.027402254
urgent,0.0060361824,increase,0.01693547,0.04517083,increase,0.13543871
dst_host_srv_diff_host_rate,0.12128564,increase,0.101646245,0.044557698,increase,0.029963044
num_failed_logins,0.01688649,increase,0.08443304,0.041658163,increase,0.20829049
dst_host_srv_rerror_rate,0.041759815,increase,0.0386487,0.033483177,increase,0.02642308
num_compromised,0.006582799,increase,49.09836,0.019225242,increase,143.65137
dst_bytes,0.012561313,increase,16453972.0,0.010300928,increase,13492859.0
land,0.07070099,increase,0.07055435,0.009093845,increase,0.008917893
hot,0.0038275626,increase,0.08162269,0.0034595851,increase,0.07128228
wrong_fragment,0.00117302,decrease,-0.0035190631,0.002199058,increase,0.0011227054
