Attack,Epsilon,Category,N_Samples,ASR_MLP,ASR_RF,ASR_XGB,PGD_Advantage_MLP,PGD_Advantage_RF,PGD_Advantage_XGB
FGSM,0.01,DoS,5864,7.13,9.55,6.24,,,
FGSM,0.01,Probe,1891,8.25,23.9,22.63,,,
FGSM,0.01,R2L,413,71.91,97.09,70.22,,,
FGSM,0.01,U2R,16,50.0,100.0,43.75,,,
PGD,0.01,DoS,5864,7.03,9.55,7.42,-0.1,0.0,1.18
PGD,0.01,Probe,1891,7.93,24.96,23.53,-0.32,1.06,0.9
PGD,0.01,R2L,413,71.43,97.34,36.32,-0.48,0.25,-33.9
PGD,0.01,U2R,16,50.0,100.0,31.25,0.0,0.0,-12.5
FGSM,0.05,DoS,5864,24.49,9.62,9.5,,,
FGSM,0.05,Probe,1891,38.97,25.44,23.74,,,
FGSM,0.05,R2L,413,97.09,98.31,75.54,,,
FGSM,0.05,U2R,16,100.0,100.0,68.75,,,
PGD,0.05,DoS,5864,23.84,10.71,11.95,-0.65,1.09,2.45
PGD,0.05,Probe,1891,40.77,35.22,29.14,1.8,9.78,5.4
PGD,0.05,R2L,413,98.06,100.0,64.65,0.97,1.69,-10.89
PGD,0.05,U2R,16,100.0,100.0,62.5,0.0,0.0,-6.25
FGSM,0.1,DoS,5864,60.15,13.32,10.18,,,
FGSM,0.1,Probe,1891,56.8,27.82,25.97,,,
FGSM,0.1,R2L,413,98.79,98.06,76.76,,,
FGSM,0.1,U2R,16,100.0,100.0,81.25,,,
PGD,0.1,DoS,5864,63.71,18.88,28.38,3.56,5.56,18.2
PGD,0.1,Probe,1891,60.87,44.69,39.19,4.07,16.87,13.22
PGD,0.1,R2L,413,100.0,99.76,78.93,1.21,1.7,2.17
PGD,0.1,U2R,16,100.0,100.0,87.5,0.0,0.0,6.25
FGSM,0.2,DoS,5864,97.77,18.08,10.32,,,
FGSM,0.2,Probe,1891,95.82,29.09,28.19,,,
FGSM,0.2,R2L,413,100.0,90.31,70.22,,,
FGSM,0.2,U2R,16,100.0,100.0,62.5,,,
PGD,0.2,DoS,5864,96.16,27.54,28.73,-1.61,9.46,18.41
PGD,0.2,Probe,1891,97.2,55.42,40.45,1.38,26.33,12.26
PGD,0.2,R2L,413,100.0,100.0,78.93,0.0,9.69,8.71
PGD,0.2,U2R,16,100.0,100.0,50.0,0.0,0.0,-12.5
